soil_moisture,temperature,humidity,nitrogen,phosphorus,potassium,yield
42.472407130841745,27.872710405548844,58.682040923334924,34.98351218645267,37.84992399454867,10.080396160174313,4.412262753541982
77.04285838459498,29.468713187500427,56.645604811570166,47.33733862562971,13.30303980194202,8.341455127341103,6.467806366841206
63.919636508684306,37.090947864043606,48.807695625143005,38.13333903281666,20.598786246644877,38.23055729090152,6.274977458178524
55.919509051822196,26.80008772119784,70.3633335050744,14.16512915558982,34.84762865860182,58.13639773710151,6.270443862377679
29.36111842654619,37.39299369624342,63.831208025431444,19.27901183917777,26.694020503601596,32.64967199250982,3.7895311224599006
29.35967122017216,21.76268861953383,83.28504961620018,20.966409201545957,38.23569673857022,7.833337426661782,4.932279580047152
23.485016730091967,35.535968744172614,41.60547902410291,22.893212682242243,48.25435555502869,17.167026084260087,3.1375808444444884
71.97056874649611,36.95095266109473,72.19339637775632,38.27016959752521,10.244600947183887,18.463609852867386,5.794306702252791
56.06690070459253,23.636353056746774,78.14744392557806,35.19828899126968,36.93054723791274,23.58214210253225,6.459527847088561
62.48435466776273,28.60693064744401,77.97432845941535,20.158001918210445,15.365487003445153,7.398186097241695,4.275435998696691
21.23506965774815,23.309995493273114,84.30369835477626,13.377742172784354,23.651452733340616,54.769098527385395,5.314245528371047
78.19459112971967,34.132082579884354,76.45168714147471,18.571610223735902,6.478822660781292,33.356016959682236,4.9065288579548145
69.94655844802531,30.706955361233135,86.39050308238481,59.21906563093017,11.115832203171452,41.901193612476,6.538798308521306
32.74034664069657,32.70646693416642,56.632829991044574,33.42734748957361,19.389978007200487,8.694506029225494,4.129348587534144
30.909498032426036,23.92973933912422,65.16047083757715,53.36727523510562,20.38936123795932,7.976350729200717,4.694940474791135
31.00427059120603,24.23491724104839,40.70398316414453,52.43762333344216,45.48133474079431,37.2557274622301,6.140016537275856
38.254534577572265,20.829946510198127,40.34787936516456,35.575977873143685,38.38158091699318,53.80128057773144,6.636962949973686
51.48538589793427,26.441350703914594,52.00633102257599,45.33438542302718,48.74823356841685,34.06651005277509,5.992551872669953
45.916701118526944,31.1948932266735,45.04035985695426,19.637600520635615,31.958217965085822,53.28005449135393,4.925372808260053
37.47374841188251,37.15869827994658,53.01056839678768,44.419835246345414,15.877117944109308,49.604520018038166,5.9673096557003955
56.71117368334277,33.338548949173614,48.85216472641987,23.619228963164474,19.74447634647393,9.17195821872064,4.158235586955266
28.36963163912251,28.70792646799503,41.42600124193241,51.60310483770754,19.39261654813852,16.107661091212947,3.88469159523897
37.528678912113094,39.062402287882755,85.46520732030247,14.186206655445496,19.69224474484632,41.17408680354384,3.9698458289115717
