soil_moisture,temperature,humidity,nitrogen,phosphorus,potassium,yield
42.47240713,27.87271041,58.68204092,34.98351219,37.84992399,10.08039616,4.412262754
77.04285838,29.46871319,56.64560481,47.33733863,13.3030398,8.341455127,6.467806367
63.91963651,37.09094786,48.80769563,38.13333903,20.59878625,38.23055729,6.274977458
55.91950905,26.80008772,70.36333351,14.16512916,34.84762866,58.13639774,6.270443862
29.36111843,37.3929937,63.83120803,19.27901184,26.6940205,32.64967199,3.789531122
29.35967122,21.76268862,83.28504962,20.9664092,38.23569674,7.833337427,4.93227958
23.48501673,35.53596874,41.60547902,22.89321268,48.25435556,17.16702608,3.137580844
71.97056875,36.95095266,72.19339638,38.2701696,10.24460095,18.46360985,5.794306702
56.0669007,23.63635306,78.14744393,35.19828899,36.93054724,23.5821421,6.459527847
62.48435467,28.60693065,77.97432846,20.15800192,15.365487,7.398186097,4.275435999
21.23506966,23.30999549,84.30369835,13.37774217,23.65145273,54.76909853,5.314245528
78.19459113,34.13208258,76.45168714,18.57161022,6.478822661,33.35601696,4.906528858
69.94655845,30.70695536,86.39050308,59.21906563,11.1158322,41.90119361,6.538798309
32.74034664,32.70646693,56.63282999,33.42734749,19.38997801,8.694506029,4.129348588
30.90949803,23.92973934,65.16047084,53.36727524,20.38936124,7.976350729,4.694940475
31.00427059,24.23491724,40.70398316,52.43762333,45.48133474,37.25572746,6.140016537
38.25453458,20.82994651,40.34787937,35.57597787,38.38158092,53.80128058,6.63696295
51.4853859,26.4413507,52.00633102,45.33438542,48.74823357,34.06651005,5.992551873
45.91670112,31.19489323,45.04035986,19.63760052,31.95821797,53.28005449,4.925372808
37.47374841,37.15869828,53.0105684,44.41983525,15.87711794,49.60452002,5.967309656
56.71117368,33.33854895,48.85216473,23.61922896,19.74447635,9.171958219,4.158235587
28.36963164,28.70792647,41.42600124,51.60310484,19.39261655,16.10766109,3.884691595
37.52867891,39.06240229,85.46520732,14.18620666,19.69224474,41.1740868,3.969845829
41.9817106,34.38490401,40.41115657,48.65693364,35.28338779,29.39257604,5.00249231
47.36419905,38.60330406,76.80410722,14.99684533,28.88635676,20.98848975,3.911853891
67.11055768,30.55175947,47.60739435,54.05946184,22.34408801,28.02486208,6.146550465
31.98042693,25.1780855,85.6114811,25.21022591,11.70903959,29.48598054,4.451557614
50.8540663,21.05653373,84.63979698,42.71966824,5.996262332,55.0803738,6.477991945
55.54487413,34.52169703,72.69505732,34.37511393,14.84756049,10.6902056,4.150544569
22.78702476,22.42605996,73.61170749,28.31515726,9.836213179,20.38519107,3.711155158
56.45269111,26.05550257,40.2669571,42.27209166,40.34502639,34.56606491,4.888176342
30.23144742,30.64941816,89.24357831,57.37614903,10.0624081,43.40578096,6.050421417
23.90309558,31.28833176,83.89163018,12.06348737,37.59027068,39.68505089,5.1576783
76.93313224,32.01166394,84.75531129,55.94264279,22.35464104,56.79035058,7.26254942
77.93792198,23.32510661,72.96222685,40.45408275,8.302027538,48.75849087,6.902573042
68.50384089,27.5947481,57.23934643,50.36571504,41.57285222,35.63922631,6.673490975
38.27682615,32.34388454,84.68243245,29.19374767,31.08337566,16.80754804,5.200803938
25.86032684,39.39637729,54.57584641,33.59214874,15.60926808,29.79808273,3.864629387
61.05398159,34.55262275,68.13557717,53.44253759,45.26065284,43.13602343,7.495232384
46.40914962,38.45207514,44.98654862,30.74239849,7.036624124,51.08791962,4.528808159
27.32229409,35.24424117,86.09778151,36.73297834,14.08188237,57.78549234,6.126245908
49.71061461,31.83433938,47.03852289,11.00974615,38.84211175,38.29990214,4.72375761
22.06331127,23.84046738,51.24484029,17.92990029,36.92200686,33.9805652,3.701548113
74.55922412,33.33371304,67.90670791,42.0843254,18.01722622,5.973055772,5.380675623
35.5267989,32.46759132,78.20465001,45.84884505,7.791119391,8.965448803,4.132755467
59.75133706,32.04938341,70.9675653,39.13004684,43.61351325,13.58577487,5.93328422
38.70266457,29.79571736,51.60669564,17.16550181,19.11639371,8.011796215,2.887880417
51.20408127,30.57313208,40.04715213,32.27027143,13.80710367,27.04747813,3.903645783
52.80261676,26.68885054,77.85752902,27.75473832,28.22278201,23.52831998,5.369810771
31.09126733,30.38625385,89.2603663,34.7830672,45.96022397,40.05447868,6.109878851
78.17507767,23.95111811,80.49565602,53.51645173,6.959596003,34.46158094,7.391414388
66.5079694,36.10348795,63.01033091,48.79307193,39.46118396,37.77839177,6.594808151
76.36993649,23.71553909,85.18836307,14.19947507,30.76129526,30.95874616,4.949707896
73.68964103,21.6993258,60.49238366,54.51545989,24.14521024,20.27554317,6.317855987
55.87399873,28.72492053,66.24670421,33.58835756,38.48361998,57.40539232,5.833644928
75.3124541,33.16614879,63.85648837,47.19310724,48.4620991,9.752503787,6.715178778
25.30955012,28.7543365,62.38119363,17.00196156,15.3142795,56.63900497,3.433551679
31.75897175,25.53508264,78.75953846,43.53597629,11.46413143,22.11809258,4.271978509
22.71363733,31.16342368,66.33844536,21.81630088,46.07967854,33.1963795,4.454676101
39.51981985,26.94004671,55.8358561,31.91904486,35.10288849,10.98632776,5.194924367
43.32063738,38.6573538,52.90790838,10.8431435,24.70937097,8.90120876,2.490228287
36.28094191,38.45290279,41.88736585,17.5805319,30.79668066,28.62499968,3.649191696
69.72425055,30.0474364,69.15975809,14.60402466,38.55262573,45.7933557,6.278502668
41.4051996,26.55767988,51.49807077,21.98720865,39.78643544,19.81506277,5.150527375
36.85607058,34.74264828,47.4066961,15.0009045,46.39523814,35.92913389,4.817627791
52.56176499,20.73425887,72.69149819,44.59550133,24.2079255,20.32576873,6.282782092
28.4554535,29.49538012,74.06046289,11.45199511,18.20349095,26.37371835,3.972514873
68.13181885,26.72646789,77.60774461,40.88702503,33.78489201,54.85454752,6.751682801
24.47303862,38.4107177,65.17884482,17.03539154,23.70775547,52.0711794,4.404183461
79.2132162,20.24006055,84.70273026,57.25807286,31.75693043,33.38096489,8.33444013
66.33468616,31.05629751,86.81713767,56.65470366,23.89936093,18.09580951,6.153050502
31.92294089,34.81327162,80.36854699,21.27515513,11.8848104,15.6251152,3.255217769
20.33132703,29.70035975,71.7796741,40.72106491,26.12420382,57.47480442,5.186742794
68.92768571,21.7080606,55.18604768,11.40026597,36.09130199,16.14941281,5.146933889
62.41144063,39.4492278,89.14724608,56.58942715,40.96777135,49.4492571,7.807750964
63.74043008,30.36020863,53.70680836,36.14936541,27.19968246,25.29336152,5.239487886
66.2762208,32.28372489,50.1328461,12.16115757,12.43570506,59.21129162,4.340290293
24.4426791,24.73219565,62.10770569,27.12499965,23.66094693,25.24856572,3.999378813
41.50794371,29.6699617,42.84202854,13.84247309,40.3832268,24.33341437,3.720083629
26.95214357,28.58298984,88.92472323,29.64722197,23.57866718,40.06049959,5.232132639
71.78620555,21.49791684,69.42167782,43.49631711,36.34388571,57.88342436,7.107249773
57.39788761,22.12320707,67.84760458,33.4944954,27.82461568,58.69152832,6.660641844
39.85388149,36.74945039,72.78981399,29.18610874,15.85504063,43.89633806,4.656934042
23.81350102,24.79639904,64.85118239,15.95785228,40.82677286,46.50335011,4.149070015
38.6589393,23.89916543,41.60317585,22.24695228,8.789605433,35.98711968,3.083386213
39.51099932,30.09822903,70.61556444,15.00716439,28.62006272,46.56766565,4.263084921
63.7763707,35.37494263,75.80869385,50.37493658,14.40009654,52.28788102,6.634403407
58.25344828,21.23893037,60.83745303,16.7619914,8.017953284,31.73524168,4.463147124
73.23276455,31.53615839,77.8647786,39.76866833,27.63202717,39.09242446,6.850947439
48.33289551,22.38420886,51.35006497,27.13702068,27.48029702,34.55241824,5.129542731
27.17565476,20.72922102,51.06382955,21.29891923,36.81054058,35.93588374,4.077049682
62.79468723,21.05487904,48.07084938,41.97342197,38.51378119,53.95263504,7.406290844
65.64710292,36.68328216,58.59973799,32.85011547,37.75061699,24.55892566,5.369920339
53.67663185,22.35944967,82.35060177,30.00727336,23.43014298,16.45012141,5.431895744
66.2580308,20.90302729,81.39560311,39.64260024,33.42604043,30.09540607,6.606862128
49.62773578,28.75799774,59.1412104,34.56338142,30.96253592,16.44468548,5.089058841
51.36396976,36.87986944,69.4559368,25.17421043,23.97027903,32.41202341,4.783713897
45.6524611,25.24816753,76.04081582,37.95306439,31.87457124,54.69294579,6.697392324
21.5251476,28.43425235,52.06033873,43.47492883,47.62615445,38.95884363,5.451128816
26.47348562,20.79845065,48.40705429,11.33465793,13.68021847,52.04880693,4.178554006
21.88575114,28.98157028,88.60479966,33.29358645,45.75974431,14.14050058,4.568445405
58.18462468,31.55226161,70.87786566,12.88416423,7.405498129,54.54804759,4.021078094
38.86135886,31.41814108,89.07078609,19.3202707,18.87751458,38.09829404,4.314300043
50.51424147,26.64853384,56.88779936,38.0254367,17.96653619,6.746788381,4.917088967
74.45398844,26.31066361,75.151585,53.30944576,33.18642985,39.82154254,7.455775673
34.95753375,22.13247238,51.13018183,54.14028396,10.90512283,57.32683259,5.88728137
44.62297538,27.33596641,53.06000856,13.49720051,44.70564253,9.354185026,3.488034645
65.33306831,21.98989338,65.59510606,30.95525431,42.28481338,37.03508718,6.482680355
33.72788993,35.33191889,55.98090628,39.15032415,34.34296189,55.35132316,5.170251641
